ID,Category,Occupation
PA00001,Type12,Economically Inactive
PA00002,Type12,Economically Inactive
PA00003,Type10,Professionals
PA00004,Type12,Economically Inactive
PA00004,Type11,Economically Inactive
PA00004,Type3,Economically Inactive
PA00004,Type6,Economically Inactive
PA00005,Type3,Economically Inactive
PA00005,Type11,Economically Inactive
PA00006,Type5,Economically Inactive
PA00006,Type11,Economically Inactive
PA00007,Type12,Economically Inactive
PA00008,Type3,Economically Inactive
PA00009,Type10,Economically Inactive
PA00010,Type12,Economically Inactive
PA00010,Type3,Economically Inactive
PA00011,Type3,Service and Sales Workers
PA00012,Type5,"Legislators, Senior Officials & Managers"
PA00012,Type12,"Legislators, Senior Officials & Managers"
PA00012,Type11,"Legislators, Senior Officials & Managers"
PA00013,Type8,Service and Sales Workers
PA00013,Type6,Service and Sales Workers
PA00013,Type12,Service and Sales Workers
PA00014,Type11,Associate Professionals and Technicians
PA00015,Type8,Professionals
PA00015,Type10,Professionals
PA00016,Type11,Economically Inactive
PA00017,Type3,Economically Inactive
PA00018,Type10,Professionals
PA00019,Type11,"Legislators, Senior Officials & Managers"
PA00020,Type13,Associate Professionals and Technicians
PA00021,Type5,Economically Inactive
PA00021,Type3,Economically Inactive
PA00021,Type13,Economically Inactive
PA00022,Type6,Associate Professionals and Technicians
PA00023,Type5,Economically Inactive
PA00023,Type2,Economically Inactive
PA00023,Type12,Economically Inactive
PA00024,Type5,"Legislators, Senior Officials & Managers"
PA00024,Type12,"Legislators, Senior Officials & Managers"
PA00025,Type13,Economically Inactive
PA00026,Type15,Service and Sales Workers
PA00027,Type7,Economically Inactive
PA00028,Type10,Economically Inactive
PA00029,Type10,Economically Inactive
PA00030,Type5,Economically Inactive
PA00030,Type12,Economically Inactive
PA00031,Type13,Economically Inactive
PA00031,Type7,Economically Inactive
PA00032,Type12,Economically Inactive
PA00033,Type10,Economically Inactive
PA00034,Type12,"Legislators, Senior Officials & Managers"
PA00035,Type12,Associate Professionals and Technicians
PA00036,Type12,Associate Professionals and Technicians
PA00037,Type10,"Legislators, Senior Officials & Managers"
PA00038,Type13,"Legislators, Senior Officials & Managers"
PA00039,Type3,"Legislators, Senior Officials & Managers"
PA00040,Type6,Economically Inactive
PA00040,Type10,Economically Inactive
PA00041,Type11,Service and Sales Workers
PA00042,Type12,Economically Inactive
PA00042,Type11,Economically Inactive
PA00043,Type15,Economically Inactive
PA00044,Type10,"Legislators, Senior Officials & Managers"
PA00045,Type1,Economically Inactive
PA00046,Type12,Service and Sales Workers
PA00046,Type2,Service and Sales Workers
PA00047,Type7,Economically Inactive
PA00047,Type11,Economically Inactive
PA00048,Type3,"Legislators, Senior Officials & Managers"
PA00048,Type10,"Legislators, Senior Officials & Managers"
PA00049,Type12,Professionals
PA00050,Type7,"Legislators, Senior Officials & Managers"
PA00051,Type1,Economically Inactive
PA00052,Type10,Professionals
PA00053,Type2,"Legislators, Senior Officials & Managers"
PA00054,Type5,Professionals
PA00055,Type10,"Legislators, Senior Officials & Managers"
PA00056,Type12,Economically Inactive
PA00057,Type12,Economically Inactive
PA00057,Type15,Economically Inactive
PA00058,Type6,Associate Professionals and Technicians
PA00059,Type12,Service and Sales Workers
PA00060,Type12,"Legislators, Senior Officials & Managers"
PA00061,Type15,Economically Inactive
PA00062,Type15,"Legislators, Senior Officials & Managers"
PA00063,Type15,Economically Inactive
PA00063,Type11,Economically Inactive
PA00063,Type6,Economically Inactive
PA00064,Type7,Craftsmen and Related Trades Workers
PA00065,Type3,Service and Sales Workers
PA00066,Type10,Economically Inactive
PA00067,Type10,"Legislators, Senior Officials & Managers"
PA00068,Type10,Professionals
PA00069,Type10,Associate Professionals and Technicians
PA00070,Type12,Associate Professionals and Technicians
PA00071,Type12,Economically Inactive
PA00072,Type8,Service and Sales Workers
PA00072,Type12,Service and Sales Workers
PA00073,Type7,Economically Inactive
PA00074,Type10,Service and Sales Workers
PA00075,Type3,Economically Inactive
PA00076,Type12,Clerical Support Workers
PA00076,Type8,Clerical Support Workers
PA00077,Type10,Professionals
PA00078,Type5,Economically Inactive
PA00079,Type12,Economically Inactive
PA00080,Type12,Economically Inactive
PA00081,Type10,Economically Inactive
PA00082,Type12,Clerical Support Workers
PA00082,Type11,Clerical Support Workers
PA00083,Type3,Professionals
PA00084,Type12,"Cleaners, Labourers and Related Workers"
PA00085,Type1,Service and Sales Workers
PA00086,Type11,Craftsmen and Related Trades Workers
PA00087,Type10,Professionals
PA00088,Type11,Economically Inactive
PA00089,Type12,Craftsmen and Related Trades Workers
PA00090,Type12,"Legislators, Senior Officials & Managers"
PA00090,Type11,"Legislators, Senior Officials & Managers"
PA00091,Type12,"Legislators, Senior Officials & Managers"
PA00092,Type3,Service and Sales Workers
PA00092,Type13,Service and Sales Workers
PA00093,Type12,Economically Inactive
PA00094,Type12,Service and Sales Workers
PA00094,Type11,Service and Sales Workers
PA00095,Type12,"Legislators, Senior Officials & Managers"
